already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27130513128&RT=1,2016-17,27130513128,"ADV. YADAVRAO DHOTE JR. COLLEGE , AMBEDKAR WARD",Maharashtra,CHANDRAPUR,RAJURA,2713050013 - NAGAR PARISHAD RAJURA,RAJURA,nan,Urban,442905,nan,11,12,Co-educational,Private Unaided,Yes,2006,0,0,No,Yes,No,NA,No,0,0,1,2,2,0,0,0,0,10,1,11,5,6,0,No,2,4,0,0,0,11,1,Marathi,English,nan,Rented,Barbed wire fencing,0,No,0,0,0,0,Yes,Yes,2,2,2,2,No,Tap Water,Yes,Yes,1,No,Yes,NA,10,2,Yes,Yes,No,NA,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27130714704&RT=1,2016-17,27130714704,ADV AMBUJA FOU HI. SCH. UPPERWAHI,Maharashtra,CHANDRAPUR,KORPANA,2713070009 - BAKHARDI,UPPERWAHI,nan,Rural,442908,Pri. + UP + Sec & H.Sec,1,12,Co-educational,Private Unaided,Yes,2001,2003,0,No,No,No,NA,No,0,0,1,1,1,0,0,0,0,27,0,27,17,10,0,No,0,0,0,0,0,27,0,English,nan,nan,Private,Pucca,16,All,18,16,0,0,Yes,Yes,4,4,9,9,Yes,Tap Water,Yes,Yes,3070,No,Yes,NA,56,49,Yes,No,NA,Yes,0.0,100.0,12.5,0.0,-0.19,51.61,50.0,20.0,33.0,47.09,1.5,5.82,3.38,62.85
already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27130204704&RT=1,2016-17,27130204704,ADV DHANORKAR JUNIOR COLLEGE CHADANKHEDE,Maharashtra,CHANDRAPUR,BHADRAWATI,2713020006 - WAIGAON,CHANDANKHEDA,nan,Rural,442906,nan,11,12,Co-educational,Private Unaided,Yes,2012,0,0,No,No,No,nan,No Response,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,No,0,3,0,0,0,3,0,Marathi,English,nan,Private,Barbed wire fencing,0,No,0,0,0,0,Yes,Yes,1,1,1,1,No,Well,Yes,Yes,438,No,Yes,NA,10,10,Yes,Yes,No,NA,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27131512401&RT=1,2016-17,27131512401,ADIW.I ANU. PRI. ASRAM SCH KODEPUR,Maharashtra,CHANDRAPUR,JIWATI,2713150006 - YELLAPUR,KONDEPUR,nan,Rural,442908,Primary with U.Primary,1,7,Co-educational,Private Aided,Yes,1988,1988,1992,No,No,Yes,nan,No,0,0,2,3,3,"7,000","7,000","5,000","4,400",8,0,2,7,1,0,Yes,0,0,0,0,0,8,0,Marathi,nan,nan,Private,Barbed wire fencing,7,No,0,7,0,0,Yes,Yes,2,2,2,2,Yes,Tap Water,Yes,No,0,No,Yes,NA,1,1,Yes,Yes,Yes,No,0.0,100.0,0.0,0.0,5.15,0.0,48.31,31.0,35.0,49.8,0.0,0.0,96.33,2.04
already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27130806802&RT=1,2016-17,27130806802,ADIVASI ASHR. SCHO0L JANALA,Maharashtra,CHANDRAPUR,MUL,2713080006 - SUSHI,JANALA,nan,Rural,441224,Pri. + UP & Sec,1,10,Co-educational,Private Aided,Yes,1987,1989,0,No,No,Yes,nan,No,0,0,0,0,0,0,0,0,0,12,0,6,10,3,2,No,0,1,0,0,0,13,0,Marathi,nan,nan,Rented,Partial,8,Some,0,4,4,0,Yes,Yes,5,5,6,6,No,Well,Yes,Yes,120,No,Yes,NA,1,1,Yes,Yes,Yes,No,0.0,100.0,0.0,0.0,58.57,0.0,45.5,17.0,28.0,45.5,0.0,0.0,100.0,0.0
already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27131216104&RT=1,2016-17,27131216104,ADARSHA JANTA PRI BHISI,Maharashtra,CHANDRAPUR,CHIMUR,2713120004 - AMBENERI,BHISI,nan,Rural,442903,Primary Only,1,4,Co-educational,Private Aided,Yes,1963,1980,0,No,No,No,NA,No,0,0,1,2,0,0,0,"5,000","5,000",7,0,2,7,0,0,No,0,0,0,0,0,7,0,Marathi,nan,nan,Rented,Barbed wire fencing,9,No,0,5,4,0,Yes,Yes,3,3,3,3,No,Tap Water,Yes,Yes,500,No,Yes,NA,1,1,Yes,Yes,Yes,Yes,0.0,100.0,33.33,0.0,-6.72,65.71,77.78,32.0,25.0,54.05,1.35,15.77,4.05,78.83
already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27130713405&RT=1,2016-17,27130713405,ADITYA B PUBLIC SCH AWALPUR,Maharashtra,CHANDRAPUR,KORPANA,2713070007 - AWARPUR,AWARPUR,INDUMATICHAKRAVARTY,Rural,442917,Pri. + UP + Sec & H.Sec,1,12,Co-educational,Private Unaided,Yes,1982,1984,0,No,No,No,NA,Yes,122,5,1,3,3,0,0,0,0,33,0,31,15,18,2,Yes,1,0,0,0,0,33,0,English,nan,nan,Private,Pucca,11,All,12,11,0,0,Yes,Yes,16,16,19,19,No,Tap Water,Yes,Yes,10400,No,Yes,NA,18,2,Yes,Yes,Yes,No,0.0,100.0,26.67,0.0,6.59,54.63,50.0,14.0,41.0,45.03,3.31,23.84,2.65,47.68
Value Error,http://schoolreportcards.in/SRC-New/ReportCarIW.I ANU. PRI. ASRAM SCH KODEPUR,Maharashtra,CHANDRAPUR,JIWATI,2713150006 - YELLAPUR,KONDEPUR,nan,Rural,442908,Primary with U.Primary,1,7,Co-educational,Private Aided,Yes,1988,1988,1992,No,No,Yes,nan,No,0,0,2,3,3,"7,000","7,000","5,000","4,400",8,0,2,7,1,0,Yes,0,0,0,0,0,8,0,Marathi,nan,nan,Private,Barbed wire fencing,7,No,0,7,0,0,Yes,Yes,2,2,2,2,Yes,Tap Water,Yes,No,0,No,Yes,NA,1,1,Yes,Yes,Yes,No,0.00,100.00,0.00,0.0,5.15,0.0,48.31,31.0,35.0,49.8,0.0,0.0,96.33,2.04,nan,nan,nan
already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27130713405&RT=1,2016-17,27130713405,ADITYA B PUBLIC SCH AWALPUR,Maharashtra,CHANDRAPUR,KORPANA,2713070007 - AWARPUR,AWARPUR,INDUMATICHAKRAVARTY,Rural,442917,Pri. + UP + Sec & H.Sec,1,12,Co-educational,Private Unaided,Yes,1982,1984,0,No,No,No,NA,Yes,122,5,1,3,3,0,0,0,0,33,0,31,15,18,2,Yes,1,0,0,0,0,33,0,English,nan,nan,Private,Pucca,11,All,12,11,0,0,Yes,Yes,16,16,19,19,No,Tap Water,Yes,Yes,10400,No,Yes,NA,18,2,Yes,Yes,Yes,No,0.0,100.0,26.67,0.0,6.59,54.63,50.0,14.0,41.0,45.03,3.31,23.84,2.65,47.68
already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27131216106&RT=1,2016-17,27131216106,ADARSHA JANATA V. BHISI,Maharashtra,CHANDRAPUR,CHIMUR,2713120004 - AMBENERI,BHISI,nan,Rural,442903,U.Pri.Sec & Hsec,5,12,Co-educational,Private Aided,Yes,1963,1964,0,No,Yes,No,NA,No,0,0,1,3,2,0,0,0,0,15,0,15,12,3,0,No,0,0,0,0,0,15,0,Marathi,nan,nan,Rented,Partial,11,All,0,11,0,0,Yes,Yes,2,2,2,2,No,Tap Water,Yes,Yes,2000,No,Yes,NA,13,2,Yes,Yes,No,NA,0.0,100.0,0.0,0.0,-2.43,49.49,44.83,29.0,40.0,51.13,0.0,22.4,6.56,69.46
already added,http://schoolreportcards.in/SRC-New/ReportCard/ViewReport.aspx?T=1&AY=2016-17&cmbschool=27130513129&RT=1,2016-17,27130513129,ADARSHA HIGHSCHOOL( BEGHAR VASTI ) RAJURA,Maharashtra,CHANDRAPUR,RAJURA,2713050013 - NAGAR PARISHAD RAJURA,RAJURA,nan,Urban,442905,nan,8,10,Co-educational,Private Unaided,No,2013,2013,0,No,No,No,NA,No Response,0,0,0,0,0,0,0,0,0,0,6,6,4,2,0,No,0,4,0,0,0,6,0,Marathi,Marathi,nan,Private,Barbed wire fencing,1,All,3,1,0,0,Yes,Yes,4,4,4,4,Yes,Others,Yes,Yes,300,No,Yes,NA,11,8,Yes,Yes,Yes,Yes,0.0,100.0,50.0,0.0,-30.43,80.0,25.0,11.0,64.0,50.0,3.13,7.81,6.25,81.25
